"Freq [GHz]","arg(St(stripline1_T1,stripline1_T1)) [deg]","arg(St(stripline1_T2,stripline1_T1)) [deg]","arg(St(stripline1_T3,stripline1_T1)) [deg]","arg(St(stripline1_T4,stripline1_T1)) [deg]"
6.88,179.885365044285,-0.0516206386969032,-0.0713571186736216,-0.0738265786246577
6.9,179.885126832212,-0.0517536642562725,-0.0715293438194392,-0.074012626185228
6.92,179.884887770192,-0.0518864519831151,-0.071701063380786,-0.0742001343258437
6.94,179.884647786031,-0.0520189959913041,-0.0718722245014094,-0.0743892073576832
6.96,179.884406807235,-0.0521512915868569,-0.0720427687106249,-0.0745799525618712
6.98,179.884164761188,-0.0522833353268848,-0.072212631872144,-0.0747724799044153
7,179.883921575321,-0.0524151250508842,-0.0723817442557923,-0.074966901651458
7.02,179.883677177265,-0.0525466598766375,-0.0725500307767781,-0.0751633318612183
7.04,179.88343149498,-0.0526779401533668,-0.0727174114473763,-0.0753618857228596
7.06,179.883184456843,-0.0528089673568811,-0.0728838021017335,-0.0755626787121641
7.08,179.88293599169,-0.0529397439132539,-0.0730491154693137,-0.0757658255185231
7.1,179.882686028772,-0.0530702729314609,-0.0732132626801507,-0.0759714387018122
7.12,179.882434497626,-0.0532005578259747,-0.07337615531815,-0.0761796270136875
7.14,179.882181327807,-0.053330601803557,-0.0735377081386703,-0.0763904933231344
7.16,179.881926448467,-0.0534604071872022,-0.0736978426112435,-0.076604132059479
7.18,179.881669787731,-0.0535899745417551,-0.0738564914583709,-0.0768206260867343
7.2,179.881411271833,-0.0537193015739141,-0.0740136043918238,-0.0770400428963739
7.22,179.881150823953,-0.0538483817620275,-0.0741691552732598,-0.0772624300038532
7.24,179.880888362733,-0.0539772026880166,-0.0743231509420222,-0.0774878094106504
7.26,179.880623800402,-0.0541057440356716,-0.0744756419626125,-0.0777161709926811
7.28,179.880357040503,-0.054233975239106,-0.0746267355353831,-0.0779474646651166
7.3,179.880087975196,-0.0543618527798786,-0.0747766107745337,-0.0781815911851999
7.32,179.87981648219,-0.0544893171653404,-0.0749255364746969,-0.07841839147459
7.34,179.879542421366,-0.0546162896674884,-0.0750738913444897,-0.0786576343949617
7.36,179.879265631294,-0.054742668972112,-0.0752221864539238,-0.0788990029924177
7.38,179.878985925895,-0.0548683279756382,-0.0753710893062035,-0.0791420793708769
7.4,179.878703091707,-0.05499311108354,-0.0755214484700048,-0.0793863285656494
7.42,179.878416886321,-0.0551168324925237,-0.0756743170946009,-0.0796310821008763
7.44,179.878127038746,-0.0552392760728497,-0.0758309728618663,-0.0798755223567514
7.46,179.877833252594,-0.0553601975609335,-0.0759929310687947,-0.0801186694749011
7.48,179.877535212968,-0.0554793297889377,-0.0761619466357003,-0.0803593733292805
7.5,179.877232597798,-0.0555963915262975,-0.0763400000815275,-0.0805963141149356
7.52,179.876925093846,-0.0557111001019208,-0.0765292620836825,-0.0808280163516135
7.54,179.876612416667,-0.0558231872114166,-0.0767320314640167,-0.0810528825101672
7.56,179.876294332417,-0.0559324161573321,-0.0769506425696831,-0.0812692538293294
